Title,Synopsis,Links
Bad Boys Ride or Die,"Cet été, la franchise Bad Boys est de retour avec son mélange iconique d'action explosive et d'humour irrévérencieux. Mais cette fois-ci, les meilleurs flics de Miami deviennent les hommes les plus recherchés d'Amérique.",http://www.allocine.fr/film/fichefilm_gen_cfilm=240014.html
La Petite vadrouille,"Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.",http://www.allocine.fr/film/fichefilm_gen_cfilm=317100.html
Tunnel to Summer,"Selon une légende urbaine, trouver et traverser le mystérieux tunnel d’Urashima offre à celui qui ose s’y aventurer ce qu’il désire de plus cher mais à un prix qui rend l’expérience périlleuse : quelques secondes en son sein se transforment en plusieurs heures dans la vraie vie ! Kaoru, un jeune lycéen, qui a du mal à se remettre de la disparition de sa petite sœur va faire équipe avec Anzu, une jeune fille énigmatique qui lui propose son aide pour tenter l’aventure. Mais qu’attend-elle de lui en échange ? Et que lui restera-t-il, une fois qu'il aura traversé le tunnel ?",http://www.allocine.fr/film/fichefilm_gen_cfilm=307221.html
Rendez-vous avec Pol Pot,"1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.",http://www.allocine.fr/film/fichefilm_gen_cfilm=326729.html
En attendant la nuit,"Philémon est un adolescent pas comme les autres : pour survivre, il a besoin de sang humain. Dans la banlieue pavillonnaire un peu trop tranquille où il emménage avec sa famille, il fait tout pour se fondre dans le décor. Jusqu'au jour où il tombe amoureux de sa voisine Camila et attire l’attention sur eux…",http://www.allocine.fr/film/fichefilm_gen_cfilm=305806.html
La Gardav,"Mathieu jeune acteur ambitieux galère pour boucler sa bande démo. Son pote Ousmane lui propose de tourner dans son clip de rap, mais le tournage ne va pas se passer comme prévu.",http://www.allocine.fr/film/fichefilm_gen_cfilm=313780.html
L’Affaire Vinča Curie,"Octobre 1958, en pleine guerre froide, des scientifiques yougoslaves sont gravement irradiés dans le cadre d’une mission tenue secrète. Ils sont soupçonnés de travailler à la fabrication d’une bombe nucléaire. Rapatriés en France, ils sont pris en charge par le professeur Mathé à l’Institut Curie. Une course contre la montre s’engage alors pour les sauver…",http://www.allocine.fr/film/fichefilm_gen_cfilm=305856.html
Dissidente,"À Richelieu, ville industrielle du Québec, Ariane est embauchée dans une usine en tant que traductrice. Elle se rend rapidement compte des conditions de travail déplorables imposées aux ouvriers guatémaltèques. Tiraillée, elle entreprend à ses risques et périls une résistance quotidienne pour lutter contre l’exploitation dont ils sont victimes.",http://www.allocine.fr/film/fichefilm_gen_cfilm=320769.html
Le Royal Opera : Andrea Chenier,"Jonas Kaufmann est la tête d'affiche de cette mise en scène spectaculaire de David McVicar, sous la direction de son collaborateur de longue date Antonio Pappano - qui dirige le drame historique et épique de la révolution et de l'amour interdit de Giordano dans sa dernière production en tant que directeur musical du Royal Opera.",http://www.allocine.fr/film/fichefilm_gen_cfilm=316818.html
"Orlando, ma biographie politique","En 1928, Virginia Woolf écrit Orlando, le premier roman dans lequel le personnage principal change de sexe au milieu de l’histoire. Un siècle plus tard, l’écrivain et activiste trans Paul B. Preciado décide d’envoyer une lettre cinématographique à Virginia Woolf : son Orlando est sorti de sa fiction et vit une vie qu’elle n’aurait jamais pu imaginer.",http://www.allocine.fr/film/fichefilm_gen_cfilm=312600.html
Un p’tit truc en plus,"Pour échapper à la police, un fils et son père en cavale sont contraints de trouver refuge dans une colonie de vacances pour jeunes adultes en situation de handicap, se faisant passer pour un pensionnaire et son éducateur spécialisé. Le début des emmerdes et d’une formidable expérience humaine qui va les changer à jamais.",http://www.allocine.fr/film/fichefilm_gen_cfilm=318031.html
Furiosa: une saga Mad Max,"Dans un monde en déclin, la jeune Furiosa est arrachée à la Terre Verte et capturée par une horde de motards dirigée par le redoutable Dementus. Alors qu’elle tente de survivre à la Désolation, à Immortan Joe et de retrouver le chemin de chez elle, Furiosa n’a qu’une seule obsession : la vengeance.",http://www.allocine.fr/film/fichefilm_gen_cfilm=191112.html
Le Deuxième acte,"Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.",http://www.allocine.fr/film/fichefilm_gen_cfilm=325256.html
Marcello Mio,C’est l’histoire d’une femme qui s’appelle Chiara.,http://www.allocine.fr/film/fichefilm_gen_cfilm=317639.html
